date,industry,avg_hourly_earnings
2022-01-01,Construction,33.85
2022-01-01,Education & Health Services,31.29
2022-01-01,Financial Activities,40.86
2022-01-01,Information,45.12
2022-01-01,Leisure & Hospitality,19.46
2022-01-01,Manufacturing,30.53
2022-01-01,Mining & Logging,35.39
2022-01-01,Professional & Business Services,37.89
2022-01-01,Retail Trade,22.58
2022-01-01,Total Private,31.62
2022-02-01,Construction,33.95
2022-02-01,Education & Health Services,31.33
2022-02-01,Financial Activities,40.78
2022-02-01,Information,45.44
2022-02-01,Leisure & Hospitality,19.53
2022-02-01,Manufacturing,30.48
2022-02-01,Mining & Logging,35.65
2022-02-01,Professional & Business Services,38.02
2022-02-01,Retail Trade,22.63
2022-02-01,Total Private,31.66
2022-03-01,Construction,34.12
2022-03-01,Education & Health Services,31.39
2022-03-01,Financial Activities,41.06
2022-03-01,Information,45.48
2022-03-01,Leisure & Hospitality,19.75
2022-03-01,Manufacturing,30.59
2022-03-01,Mining & Logging,35.81
2022-03-01,Professional & Business Services,38.24
2022-03-01,Retail Trade,22.82
2022-03-01,Total Private,31.82
2022-04-01,Construction,34.32
2022-04-01,Education & Health Services,31.56
2022-04-01,Financial Activities,41.19
2022-04-01,Information,45.88
2022-04-01,Leisure & Hospitality,19.87
2022-04-01,Manufacturing,30.78
2022-04-01,Mining & Logging,35.05
2022-04-01,Professional & Business Services,38.49
2022-04-01,Retail Trade,22.78
2022-04-01,Total Private,31.96
2022-05-01,Construction,34.54
2022-05-01,Education & Health Services,31.69
2022-05-01,Financial Activities,41.26
2022-05-01,Information,46.18
2022-05-01,Leisure & Hospitality,19.96
2022-05-01,Manufacturing,30.83
2022-05-01,Mining & Logging,35.45
2022-05-01,Professional & Business Services,38.63
2022-05-01,Retail Trade,22.83
2022-05-01,Total Private,32.1
2022-06-01,Construction,34.72
2022-06-01,Education & Health Services,31.86
2022-06-01,Financial Activities,41.49
2022-06-01,Information,46.5
2022-06-01,Leisure & Hospitality,20.06
2022-06-01,Manufacturing,30.82
2022-06-01,Mining & Logging,35.84
2022-06-01,Professional & Business Services,38.73
2022-06-01,Retail Trade,22.89
2022-06-01,Total Private,32.2
2022-07-01,Construction,34.79
2022-07-01,Education & Health Services,32.05
2022-07-01,Financial Activities,41.67
2022-07-01,Information,46.71
2022-07-01,Leisure & Hospitality,20.18
2022-07-01,Manufacturing,30.93
2022-07-01,Mining & Logging,36.32
2022-07-01,Professional & Business Services,38.91
2022-07-01,Retail Trade,23.07
2022-07-01,Total Private,32.35
2022-08-01,Construction,34.91
2022-08-01,Education & Health Services,32.12
2022-08-01,Financial Activities,41.69
2022-08-01,Information,47.16
2022-08-01,Leisure & Hospitality,20.31
2022-08-01,Manufacturing,31.03
2022-08-01,Mining & Logging,36.26
2022-08-01,Professional & Business Services,38.99
2022-08-01,Retail Trade,23.07
2022-08-01,Total Private,32.44
2022-09-01,Construction,35.08
2022-09-01,Education & Health Services,32.1
2022-09-01,Financial Activities,41.94
2022-09-01,Information,47.7
2022-09-01,Leisure & Hospitality,20.39
2022-09-01,Manufacturing,31.12
2022-09-01,Mining & Logging,36.35
2022-09-01,Professional & Business Services,39.08
2022-09-01,Retail Trade,23.11
2022-09-01,Total Private,32.55
2022-10-01,Construction,35.28
2022-10-01,Education & Health Services,32.29
2022-10-01,Financial Activities,42.0
2022-10-01,Information,47.49
2022-10-01,Leisure & Hospitality,20.48
2022-10-01,Manufacturing,31.29
2022-10-01,Mining & Logging,36.32
2022-10-01,Professional & Business Services,39.25
2022-10-01,Retail Trade,23.28
2022-10-01,Total Private,32.7
2022-11-01,Construction,35.43
2022-11-01,Education & Health Services,32.49
2022-11-01,Financial Activities,42.09
2022-11-01,Information,47.51
2022-11-01,Leisure & Hospitality,20.6
2022-11-01,Manufacturing,31.37
2022-11-01,Mining & Logging,36.59
2022-11-01,Professional & Business Services,39.43
2022-11-01,Retail Trade,23.5
2022-11-01,Total Private,32.84
2022-12-01,Construction,35.64
2022-12-01,Education & Health Services,32.61
2022-12-01,Financial Activities,42.39
2022-12-01,Information,47.7
2022-12-01,Leisure & Hospitality,20.81
2022-12-01,Manufacturing,31.47
2022-12-01,Mining & Logging,36.83
2022-12-01,Professional & Business Services,39.55
2022-12-01,Retail Trade,23.43
2022-12-01,Total Private,32.96
2023-01-01,Construction,35.63
2023-01-01,Education & Health Services,32.67
2023-01-01,Financial Activities,42.48
2023-01-01,Information,47.78
2023-01-01,Leisure & Hospitality,20.81
2023-01-01,Manufacturing,31.65
2023-01-01,Mining & Logging,37.06
2023-01-01,Professional & Business Services,39.7
2023-01-01,Retail Trade,23.54
2023-01-01,Total Private,33.05
2023-02-01,Construction,35.87
2023-02-01,Education & Health Services,32.67
2023-02-01,Financial Activities,42.53
2023-02-01,Information,48.02
2023-02-01,Leisure & Hospitality,20.83
2023-02-01,Manufacturing,31.69
2023-02-01,Mining & Logging,37.21
2023-02-01,Professional & Business Services,39.85
2023-02-01,Retail Trade,23.77
2023-02-01,Total Private,33.16
2023-03-01,Construction,35.98
2023-03-01,Education & Health Services,32.83
2023-03-01,Financial Activities,42.73
2023-03-01,Information,48.19
