date,industry,avg_hourly_earnings,industry_bucket,ai_intensity
2022-01-01,Construction,33.85,construction,0.1820469629844922
2022-01-01,Education & Health Services,31.29,education_health,0.18753410822571615
2022-01-01,Financial Activities,40.86,financial_activities,0.1949278462573418
2022-01-01,Information,45.12,information,0.19532162262670064
2022-01-01,Leisure & Hospitality,19.46,leisure_hospitality,0.18589850479139253
2022-01-01,Manufacturing,30.53,manufacturing,0.1836635812227041
2022-01-01,Mining & Logging,35.39,mining_logging,0.18932441964122015
2022-01-01,Professional & Business Services,37.89,professional_business_services,0.1811718476462764
2022-01-01,Retail Trade,22.58,trade_transportation_utilities,0.18755945361799964
2022-01-01,Total Private,31.62,total_private,0.17866588632477437
2022-02-01,Construction,33.95,construction,0.1820469629844922
2022-02-01,Education & Health Services,31.33,education_health,0.18753410822571615
2022-02-01,Financial Activities,40.78,financial_activities,0.1949278462573418
2022-02-01,Information,45.44,information,0.19532162262670064
2022-02-01,Leisure & Hospitality,19.53,leisure_hospitality,0.18589850479139253
2022-02-01,Manufacturing,30.48,manufacturing,0.1836635812227041
2022-02-01,Mining & Logging,35.65,mining_logging,0.18932441964122015
2022-02-01,Professional & Business Services,38.02,professional_business_services,0.1811718476462764
2022-02-01,Retail Trade,22.63,trade_transportation_utilities,0.18755945361799964
2022-02-01,Total Private,31.66,total_private,0.17866588632477437
2022-03-01,Construction,34.12,construction,0.1820469629844922
2022-03-01,Education & Health Services,31.39,education_health,0.18753410822571615
2022-03-01,Financial Activities,41.06,financial_activities,0.1949278462573418
2022-03-01,Information,45.48,information,0.19532162262670064
2022-03-01,Leisure & Hospitality,19.75,leisure_hospitality,0.18589850479139253
2022-03-01,Manufacturing,30.59,manufacturing,0.1836635812227041
2022-03-01,Mining & Logging,35.81,mining_logging,0.18932441964122015
2022-03-01,Professional & Business Services,38.24,professional_business_services,0.1811718476462764
2022-03-01,Retail Trade,22.82,trade_transportation_utilities,0.18755945361799964
2022-03-01,Total Private,31.82,total_private,0.17866588632477437
2022-04-01,Construction,34.32,construction,0.1820469629844922
2022-04-01,Education & Health Services,31.56,education_health,0.18753410822571615
2022-04-01,Financial Activities,41.19,financial_activities,0.1949278462573418
2022-04-01,Information,45.88,information,0.19532162262670064
2022-04-01,Leisure & Hospitality,19.87,leisure_hospitality,0.18589850479139253
2022-04-01,Manufacturing,30.78,manufacturing,0.1836635812227041
2022-04-01,Mining & Logging,35.05,mining_logging,0.18932441964122015
2022-04-01,Professional & Business Services,38.49,professional_business_services,0.1811718476462764
2022-04-01,Retail Trade,22.78,trade_transportation_utilities,0.18755945361799964
2022-04-01,Total Private,31.96,total_private,0.17866588632477437
2022-05-01,Construction,34.54,construction,0.1820469629844922
2022-05-01,Education & Health Services,31.69,education_health,0.18753410822571615
2022-05-01,Financial Activities,41.26,financial_activities,0.1949278462573418
2022-05-01,Information,46.18,information,0.19532162262670064
2022-05-01,Leisure & Hospitality,19.96,leisure_hospitality,0.18589850479139253
2022-05-01,Manufacturing,30.83,manufacturing,0.1836635812227041
2022-05-01,Mining & Logging,35.45,mining_logging,0.18932441964122015
2022-05-01,Professional & Business Services,38.63,professional_business_services,0.1811718476462764
2022-05-01,Retail Trade,22.83,trade_transportation_utilities,0.18755945361799964
2022-05-01,Total Private,32.1,total_private,0.17866588632477437
2022-06-01,Construction,34.72,construction,0.1820469629844922
2022-06-01,Education & Health Services,31.86,education_health,0.18753410822571615
2022-06-01,Financial Activities,41.49,financial_activities,0.1949278462573418
2022-06-01,Information,46.5,information,0.19532162262670064
