onet_soc_code,ai_exposure,ai_sim_raw,automation_sim_raw,n_rows_used,soc_2018,title,text_len
15-1252.00,0.31276601552963257,0.43546605110168457,0.31258222460746765,429,15-1252,Software Developers,
15-2051.01,0.30730319023132324,0.44753798842430115,0.3133792579174042,202,15-2051,Business Intelligence Analysts,
15-1221.00,0.3065778911113739,0.4455520212650299,0.31267064809799194,163,15-1221,Computer and Information Research Scientists,
15-1243.00,0.2946252226829529,0.4434935450553894,0.34601882100105286,324,15-1243,Database Architects,
13-1161.00,0.2923775315284729,0.4615761339664459,0.2894573509693146,150,13-1161,Market Research Analysts and Marketing Specialists,
15-1242.00,0.2892659306526184,0.4342636168003082,0.40184473991394043,288,15-1242,Database Administrators,
13-2054.00,0.28595590591430664,0.4492036700248718,0.2774978578090668,189,13-2054,Financial Risk Specialists,
13-2051.00,0.2859090268611908,0.4571719169616699,0.2774978578090668,181,13-2051,Financial and Investment Analysts,
33-3021.06,0.2825602889060974,0.42891716957092285,0.29877620935440063,84,33-3021,Intelligence Analysts,
15-2051.00,0.27970150113105774,0.42779341340065,0.2913390100002289,87,15-2051,Data Scientists,
15-1253.00,0.27593326568603516,0.4314398169517517,0.37116295099258423,428,15-1253,Software Quality Assurance Analysts and Testers,
13-1071.00,0.27421027421951294,0.44121164083480835,0.27700361609458923,172,13-1071,Human Resources Specialists,
19-4099.03,0.27416083216667175,0.39770108461380005,0.25277411937713623,96,19-4099,Remote Sensing Technicians,
13-1199.06,0.2737800180912018,0.4202967584133148,0.2901003360748291,76,13-1199,Online Merchants,
15-1251.00,0.2691194713115692,0.4314398169517517,0.37116295099258423,294,15-1251,Computer Programmers,
41-4012.00,0.26794806122779846,0.4550545811653137,0.29718345403671265,141,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",
13-2011.00,0.26612988114356995,0.4287721514701843,0.2991085946559906,239,13-2011,Accountants and Auditors,
13-2052.00,0.265358030796051,0.3631700575351715,0.24086490273475647,102,13-2052,Personal Financial Advisors,
17-2112.00,0.2650222182273865,0.46420925855636597,0.5517899394035339,104,17-2112,Industrial Engineers,
13-1111.00,0.2645011842250824,0.43546605110168457,0.36604493856430054,216,13-1111,Management Analysts,
23-2011.00,0.2610573172569275,0.37658587098121643,0.23118765652179718,99,23-2011,Paralegals and Legal Assistants,
15-1211.00,0.2609642744064331,0.44587549567222595,0.3734583258628845,313,15-1211,Computer Systems Analysts,
13-1161.01,0.26050588488578796,0.4379173815250397,0.2464592009782791,66,13-1161,Search Marketing Strategists,
15-2041.00,0.25668880343437195,0.44529256224632263,0.2387612760066986,70,15-2041,Statisticians,
11-1021.00,0.2564188539981842,0.4343245029449463,0.44065648317337036,146,11-1021,General and Operations Managers,
11-2021.00,0.2554430067539215,0.439323365688324,0.2694948613643646,153,11-2021,Marketing Managers,
19-1041.00,0.2548917233943939,0.3891482353210449,0.22038254141807556,44,19-1041,Epidemiologists,
17-2111.00,0.2541798949241638,0.4054960310459137,0.3374107778072357,74,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",
19-2042.00,0.2537834346294403,0.3862978518009186,0.2867458760738373,142,19-2042,"Geoscientists, Except Hydrologists and Geographers",
15-1299.09,0.2534908652305603,0.43147367238998413,0.3892963230609894,334,15-1299,Information Technology Project Managers,
15-1299.08,0.2534908652305603,0.4314398169517517,0.3747711777687073,265,15-1299,Computer Systems Engineers/Architects,
19-1021.00,0.2530490756034851,0.3692607879638672,0.2696174085140228,75,19-1021,Biochemists and Biophysicists,
15-2031.00,0.2523577809333801,0.4313260018825531,0.3021114766597748,114,15-2031,Operations Research Analysts,
29-2011.01,0.2522384822368622,0.30323466658592224,0.208306223154068,26,29-2011,Cytogenetic Technologists,
19-3051.00,0.251387357711792,0.3964345157146454,0.2803023159503937,84,19-3051,Urban and Regional Planners,
19-2043.00,0.2504395842552185,0.3782719671726227,0.2892533242702484,156,19-2043,Hydrologists,
11-2022.00,0.25010451674461365,0.4290548264980316,0.29489660263061523,103,11-2022,Sales Managers,
13-1199.05,0.24970531463623047,0.4024556577205658,0.28841620683670044,39,13-1199,Sustainability Specialists,
11-2011.00,0.2489544153213501,0.3963845372200012,0.26673316955566406,73,11-2011,Advertising and Promotions Managers,
11-3021.00,0.24894151091575623,0.4321518838405609,0.30195456743240356,177,11-3021,Computer and Information Systems Managers,
15-1254.00,0.24888122081756592,0.4314398169517517,0.3006060719490051,251,15-1254,Web Developers,
15-1255.00,0.24888122081756592,0.4314398169517517,0.3277147114276886,235,15-1255,Web and Digital Interface Designers,
19-3022.00,0.24856147170066833,0.40695372223854065,0.2849976718425751,100,19-3022,Survey Researchers,
13-1031.00,0.2461022436618805,0.4364906847476959,0.3472925126552582,73,13-1031,"Claims Adjusters, Examiners, and Investigators",
17-2199.06,0.24606697261333466,0.3633347153663635,0.3604671359062195,90,17-2199,Microsystems Engineers,
19-3093.00,0.24605683982372284,0.38037028908729553,0.3448178768157959,47,19-3093,Historians,
41-1011.00,0.24550756812095642,0.4290548264980316,0.30354028940200806,110,41-1011,First-Line Supervisors of Retail Sales Workers,
17-2031.00,0.24546022713184357,0.4191041588783264,0.3690924048423767,138,17-2031,Bioengineers and Biomedical Engineers,
19-1031.02,0.24474719166755676,0.35940319299697876,0.22375746071338654,54,19-1031,Range Managers,
11-3121.00,0.24430003762245178,0.40908902883529663,0.28944483399391174,102,11-3121,Human Resources Managers,
19-2032.00,0.24362263083457947,0.32986003160476685,0.21114373207092285,37,19-2032,Materials Scientists,
17-2061.00,0.24032792448997498,0.376037061214447,0.3018451929092407,117,17-2061,Computer Hardware Engineers,
41-4011.00,0.23925964534282684,0.4079870581626892,0.2762485146522522,67,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",
15-2021.00,0.23922324180603027,0.37312600016593933,0.2686458230018616,93,15-2021,Mathematicians,
11-9141.00,0.2385338991880417,0.3926178812980652,0.22554612159729004,62,11-9141,"Property, Real Estate, and Community Association Managers",
41-9022.00,0.23827436566352844,0.4573214650154114,0.29098889231681824,98,41-9022,Real Estate Sales Agents,
19-1029.02,0.2380179613828659,0.36248618364334106,0.21964740753173828,44,19-1029,Molecular and Cellular Biologists,
21-1012.00,0.23792901635169983,0.37705618143081665,0.24451680481433868,78,21-1012,"Educational, Guidance, and Career Counselors and Advisors",
41-3021.00,0.2361702024936676,0.4019896984100342,0.2624834179878235,67,41-3021,Insurance Sales Agents,
29-9021.00,0.23604217171669006,0.4110264182090759,0.24417805671691895,111,29-9021,Health Information Technologists and Medical Registrars,
29-2072.00,0.23604217171669006,0.4110264182090759,0.24417810142040253,111,29-2072,Medical Records Specialists,
17-3025.00,0.2356521636247635,0.3981339931488037,0.3363741934299469,73,17-3025,Environmental Engineering Technologists and Technicians,
13-1051.00,0.2354048788547516,0.40821918845176697,0.30170807242393494,65,13-1051,Cost Estimators,
15-1232.00,0.23452773690223694,0.4212462902069092,0.37077564001083374,264,15-1232,Computer User Support Specialists,
15-2041.01,0.23431570827960968,0.38319969177246094,0.21559660136699677,48,15-2041,Biostatisticians,
27-2012.00,0.2342933863401413,0.3534475564956665,0.22541698813438416,76,27-2012,Producers and Directors,
11-3031.03,0.2337072789669037,0.38172751665115356,0.22611074149608612,24,11-3031,Investment Fund Managers,
13-2041.00,0.2328261137008667,0.3802722990512848,0.22081585228443146,41,13-2041,Credit Analysts,
13-2072.00,0.2328261137008667,0.3646509051322937,0.2554585337638855,88,13-2072,Loan Officers,
11-3071.00,0.23282107710838318,0.43771424889564514,0.40179651975631714,108,11-3071,"Transportation, Storage, and Distribution Managers",
19-2099.01,0.2321169078350067,0.36769750714302063,0.24731488525867462,90,19-2099,Remote Sensing Scientists and Technologists,
23-1011.00,0.23134028911590576,0.39705872535705566,0.22322151064872742,127,23-1011,Lawyers,
11-2032.00,0.2312920093536377,0.3925008177757263,0.21738770604133606,66,11-2032,Public Relations Managers,
41-3041.00,0.23075620830059052,0.3732668459415436,0.26024702191352844,30,41-3041,Travel Agents,
15-1299.01,0.2300293743610382,0.36851388216018677,0.27822190523147583,118,15-1299,Web Administrators,
25-1066.00,0.23000352084636688,0.3596420884132385,0.2437514364719391,46,25-1066,"Psychology Teachers, Postsecondary",
11-3031.00,0.2297596037387848,0.4191359579563141,0.25931596755981445,67,11-3031,Financial Managers,
13-1151.00,0.2287626713514328,0.4176724851131439,0.28381943702697754,117,13-1151,Training and Development Specialists,
15-1243.01,0.22785237431526184,0.425950288772583,0.2847059965133667,159,15-1243,Data Warehousing Specialists,
43-6014.00,0.22778311371803284,0.42856961488723755,0.27739763259887695,132,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",
